	~venusandadonis 5~sonnets 1~loverscomplaint 14
Kind	~sonnets 1
King	~various 1
Kissing	~sonnets 1
Knew	~loverscomplaint 1
Knights	~rapeoflucrece 1
Knit	~rapeoflucrece 1
Knocks	~venusandadonis 1
Know	~rapeoflucrece 1
Knowing	~sonnets 2
L	~sonnets 1
LET	~various 1
LI	~sonnets 1
LII	~sonnets 1
LIII	~sonnets 1
LIV	~sonnets 1
LIX	~sonnets 1
LOVE'S	~various 1
LOVER'S	~loverscomplaint 1
LUCRECE	~rapeoflucrece 3
LV	~sonnets 1
LVI	~sonnets 1
LVII	~sonnets 1
LVIII	~sonnets 1
LX	~sonnets 1
LXI	~sonnets 1
LXII	~sonnets 1
LXIII	~sonnets 1
LXIV	~sonnets 1
LXIX	~sonnets 1
LXV	~sonnets 1
LXVI	~sonnets 1
LXVII	~sonnets 1
LXVIII	~sonnets 1
LXX	~sonnets 1
LXXI	~sonnets 1
LXXII	~sonnets 1
LXXIII	~sonnets 1
LXXIV	~sonnets 1
LXXIX	~sonnets 1
LXXV	~sonnets 1
LXXVI	~sonnets 1
LXXVII	~sonnets 1
LXXVIII	~sonnets 1
LXXX	~sonnets 1
LXXXI	~sonnets 1
LXXXII	~sonnets 1
LXXXIII	~sonnets 1
LXXXIV	~sonnets 1
LXXXIX	~sonnets 1
LXXXV	~sonnets 1
LXXXVI	~sonnets 1
LXXXVII	~sonnets 1
LXXXVIII	~sonnets 1
Laid	~sonnets 1
Lascivious	~sonnets 1
Laundering	~loverscomplaint 1
Lays	~rapeoflucrece 1
Leading	~venusandadonis 1
Lean	~sonnets 1
Lean'd	~various 1
Leave	~venusandadonis 1
Leaves	~venusandadonis 1
Leaving	~various 1~sonnets 1~rapeoflucrece 1
Leese	~sonnets 1
Left	~rapeoflucrece 1
Lending	~rapeoflucrece 1~loverscomplaint 1
Lends	~rapeoflucrece 1
Lest	~venusandadonis 3~various 3~sonnets 6~rapeoflucrece 1
Let	~venusandadonis 1~various 2~sonnets 10~rapeoflucrece 17~loverscomplaint 1
Lie	~venusandadonis 1
Lies	~rapeoflucrece 1
Life	~rapeoflucrece 1
Life's	~rapeoflucrece 1
Life-poisoning	~venusandadonis 1
Lifts	~sonnets 1
Like	~venusandadonis 14~various 2~sonnets 8~rapeoflucrece 8~loverscomplaint 3
Lilies	~sonnets 1
Little	~rapeoflucrece 1
Live	~various 1
Living	~various 1
Lo	~venusandadonis 3~sonnets 3~rapeoflucrece 2
Long	~venusandadonis 2~various 1
Longing	~rapeoflucrece 1
Look	~venusandadonis 8~sonnets 6~rapeoflucrece 3
Looking	~sonnets 2
Looks	~venusandadonis 1
Lord	~various 1~sonnets 1
Lose	~sonnets 1
Loseth	~venusandadonis 1
Losing	~rapeoflucrece 1
Lost	~various 1
Love	~venusandadonis 13~various 5~sonnets 9~rapeoflucrece 2~loverscomplaint 3
Love's	~venusandadonis 5~various 1~sonnets 7~loverscomplaint 1
Love-god	~sonnets 1
Love-lacking	~venusandadonis 1
Loving	~sonnets 1
Lucius	~rapeoflucrece 1
Lucrece	~rapeoflucrece 38
Lucretia	~rapeoflucrece 2
Lucretia's	~rapeoflucrece 1
Lucretius	~rapeoflucrece 3
Lurk'd	~venusandadonis 1
Lust	~venusandadonis 3~rapeoflucrece 3
Lust's	~venusandadonis 2
Lust-breathed	~rapeoflucrece 1
MR	~sonnets 1
MUSIC	~various 1
Mad	~sonnets 2
Madam	~rapeoflucrece 1
Made	~various 1~sonnets 2~rapeoflucrece 1
Make	~venusandadonis 4~sonnets 6~rapeoflucrece 7
Makes	~sonnets 2
Making	~venusandadonis 3~sonnets 7~rapeoflucrece 1
Many	~rapeoflucrece 2~loverscomplaint 1
Mar	~rapeoflucrece 1
Mark	~venusandadonis 1~sonnets 2
Mars	~various 1~sonnets 1
May	~venusandadonis 2~various 2~sonnets 4~rapeoflucrece 5~loverscomplaint 1
Me	~sonnets 2
Means	~venusandadonis 1
Measure	~venusandadonis 1
Melodious	~venusandadonis 1~various 1
Melt	~rapeoflucrece 1
Men's	~rapeoflucrece 1
Met	~rapeoflucrece 1
Methinks	~sonnets 1
Might	~sonnets 1~rapeoflucrece 1
Mild	~various 1
Mine	~venusandadonis 3~sonnets 10~rapeoflucrece 3
Mingling	~rapeoflucrece 1
Mis-shapen	~rapeoflucrece 1
Mistakes	~venusandadonis 1
Mock	~rapeoflucrece 1
Mongst	~various 1
More	~venusandadonis 3~various 1~sonnets 5~rapeoflucrece 2
Most	~sonnets 2
Much	~sonnets 2~rapeoflucrece 1
Mud	~rapeoflucrece 1
Muse	~sonnets 15
Muse;	~sonnets 1
Muses	~sonnets 1
Music	~sonnets 1
Musing	~venusandadonis 1
Must	~various 1~rapeoflucrece 2~loverscomplaint 1
Muster	~rapeoflucrece 1
My	~venusandadonis 12~various 12~sonnets 29~rapeoflucrece 30~loverscomplaint 2
Myself	~sonnets 2~rapeoflucrece 3
NOTES	~various 1
Naming	~sonnets 1
Narcissus	~venusandadonis 1~rapeoflucrece 1
Nativity	~sonnets 1
Nature	~venusandadonis 3~sonnets 5~loverscomplaint 1
Nature's	~sonnets 2
Nay	~venusandadonis 3~sonnets 2
Ne'er	~venusandadonis 2~various 1
Needs	~sonnets 1
Neglected	~rapeoflucrece 1
Neither	~various 2~sonnets 1
Nestor	~rapeoflucrece 1
Nestor's	~rapeoflucrece 1
Never	~venusandadonis 2~sonnets 1
Night	~rapeoflucrece 6
Night's	~rapeoflucrece 2
Night-wandering	~rapeoflucrece 1
Night;	~rapeoflucrece 1
Nimbly	~venusandadonis 1
No	~venusandadonis 7~various 1~sonnets 18~rapeoflucrece 11
None	~various 3~sonnets 1
Nor	~venusandadonis 2~sonnets 24~rapeoflucrece 9~loverscomplaint 2
Not	~venusandadonis 2~various 1~sonnets 10~rapeoflucrece 3~loverscomplaint 3
Nothing	~sonnets 1
Now	~venusandadonis 11~sonnets 10~rapeoflucrece 7
Number	~various 1
Nymphs	~various 1
O	~venusandadonis 23~various 9~sonnets 49~rapeoflucrece 36~loverscomplaint 13
O'er	~sonnets 1
O'ercharged	~sonnets 1
O'erworn	~venusandadonis 1
O,'tis	~sonnets 1
OF	~venusandadonis 2~various 1~sonnets 1~rapeoflucrece 3
ONLY	~sonnets 1
OUR	~sonnets 1
Oaths	~sonnets 1
Obdurate	~rapeoflucrece 1
Of	~venusandadonis 5~sonnets 20~rapeoflucrece 18~loverscomplaint 14
Offer	~rapeoflucrece 1
Oft	~loverscomplaint 1
Old	~rapeoflucrece 1
On	~venusandadonis 1~various 2~sonnets 6~rapeoflucrece 4
Once	~venusandadonis 2~various 1~rapeoflucrece 1
One	~various 4~sonnets 5~rapeoflucrece 3
Only	~sonnets 1~rapeoflucrece 2
Onward	~rapeoflucrece 1
Open'd	~venusandadonis 1
Opportunity	~rapeoflucrece 6
Or	~venusandadonis 18~various 1~sonnets 37~rapeoflucrece 20~loverscomplaint 8
Orpheus	~rapeoflucrece 1
Other	~various 1
Others	~sonnets 1
Our	~sonnets 2
Out	~rapeoflucrece 1
Out-stripping	~venusandadonis 1
Outfacing	~various 1
Outruns	~rapeoflucrece 1
Over	~venusandadonis 3
PASSIONATE	~various 1
PHOENIX	~various 1
PILGRIM	~various 1
POET	~sonnets 1
PROMISED	~sonnets 1
Pack	~various 1
Pain	~rapeoflucrece 1
Painting	~sonnets 2
Pale	~rapeoflucrece 1
Paler	~various 1
Pandion	~various 1
Panting	~venusandadonis 1
Paphos	~venusandadonis 1
Paradise	~loverscomplaint 1
Paris	~rapeoflucrece 1
Passion	~venusandadonis 1
Past	~sonnets 3
Patience	~rapeoflucrece 1
Pausing	~rapeoflucrece 1
Pawn'd	~rapeoflucrece 1
Pawning	~rapeoflucrece 1
Paying	~venusandadonis 1~rapeoflucrece 1
Perchance	~rapeoflucrece 2
Perforce	~venusandadonis 1~sonnets 1
Persuade	~various 1
Perverse	~venusandadonis 1
Philomel	~sonnets 1~rapeoflucrece 2
Philomela	~various 1
Phoebus	~various 1
Phoenix	~various 1
Phrygian	~rapeoflucrece 1
Pieced	~loverscomplaint 1
Pitiful	~sonnets 1
Pity	~venusandadonis 1~various 1~sonnets 3
Planting	~venusandadonis 1
Play	~venusandadonis 1
Playing	~various 1~loverscomplaint 2
Plays	~various 1
