	~venusandadonis 5~sonnets 1~loverscomplaint 14
restore	~sonnets 1~loverscomplaint 1
restored	~sonnets 1
restrain	~venusandadonis 1
restrains	~rapeoflucrece 1
rests;	~rapeoflucrece 1
resty	~sonnets 1
retention	~sonnets 1
retire	~rapeoflucrece 3
retires	~venusandadonis 1~rapeoflucrece 1
retiring	~rapeoflucrece 1
return	~venusandadonis 1~sonnets 4~rapeoflucrece 4
return'd	~sonnets 1
revealed	~rapeoflucrece 1
revelling	~rapeoflucrece 1
revels	~venusandadonis 1
revels;	~rapeoflucrece 1
revenge	~rapeoflucrece 5
revenged	~rapeoflucrece 3
revengeful	~rapeoflucrece 1
revenues	~sonnets 1
reverend	~rapeoflucrece 1~loverscomplaint 1
review	~sonnets 1
reviewest	~sonnets 1
revives	~venusandadonis 1
reviveth;	~venusandadonis 1
reviving	~venusandadonis 1
revolt	~sonnets 1
revolution	~sonnets 1
revolving	~rapeoflucrece 1
reworded	~loverscomplaint 1
rhetoric	~various 1~sonnets 1
rheumatic	~venusandadonis 1
rhyme	~sonnets 5
rhyme;	~sonnets 1
rhymers	~sonnets 1
rhymes	~rapeoflucrece 1
rich	~venusandadonis 3~sonnets 11~rapeoflucrece 4
rich-built	~rapeoflucrece 1
riches	~sonnets 2
richest	~loverscomplaint 1
richly	~sonnets 1
rid	~sonnets 1~rapeoflucrece 1
ride	~sonnets 2~loverscomplaint 2
ride;	~sonnets 1
rider	~venusandadonis 2~sonnets 1~loverscomplaint 1
rider's	~venusandadonis 1
ridges	~venusandadonis 1
ridges;	~rapeoflucrece 1
ridiculous	~venusandadonis 1
rifled	~rapeoflucrece 2
right	~venusandadonis 3~various 3~sonnets 10~rapeoflucrece 6~loverscomplaint 1
rightful	~rapeoflucrece 1
rightly	~sonnets 1
rights	~venusandadonis 1~sonnets 1~rapeoflucrece 1
rigol	~rapeoflucrece 1
rigor	~sonnets 1~rapeoflucrece 1
rigour	~venusandadonis 1
ring	~loverscomplaint 1
ringing	~various 1~rapeoflucrece 1
rings	~venusandadonis 1~various 1~rapeoflucrece 1~loverscomplaint 1
riot	~venusandadonis 1~sonnets 1
ripe	~sonnets 1
ripe-red	~venusandadonis 1
riper	~sonnets 2
rise	~venusandadonis 2~various 1~sonnets 1~rapeoflucrece 2
rising	~venusandadonis 1~sonnets 1
rite	~sonnets 1
river	~venusandadonis 2~loverscomplaint 2
rivers	~various 1~rapeoflucrece 1
roaring	~rapeoflucrece 1
rob	~venusandadonis 2
robb'd	~venusandadonis 1~rapeoflucrece 2
robbery	~sonnets 2
robe	~sonnets 1
robs	~sonnets 2
rock	~venusandadonis 1
rock'd	~rapeoflucrece 1
rocks	~various 1~sonnets 1~rapeoflucrece 1
rocky	~rapeoflucrece 1~loverscomplaint 1
roe	~venusandadonis 2
roll	~rapeoflucrece 1
roll'd;	~rapeoflucrece 1
rolling	~sonnets 1
rondure	~sonnets 1
roof	~sonnets 1
room	~sonnets 1
root	~venusandadonis 1~sonnets 1~rapeoflucrece 4
roots	~venusandadonis 1
rose	~venusandadonis 3~various 2~sonnets 4~rapeoflucrece 3
rose;	~sonnets 2
roses	~venusandadonis 1~various 1~sonnets 5~rapeoflucrece 3~loverscomplaint 1
rosy	~sonnets 1~rapeoflucrece 1
rotted	~rapeoflucrece 1
rotten	~sonnets 1~rapeoflucrece 2
rotten;	~sonnets 1
rough	~venusandadonis 2~rapeoflucrece 2
rough-grown	~rapeoflucrece 1
round	~venusandadonis 3~various 1~rapeoflucrece 5
rounds	~loverscomplaint 1
rouse	~venusandadonis 1~rapeoflucrece 1
rouseth	~rapeoflucrece 1
royally	~rapeoflucrece 1
rubbing	~various 1
rubies	~loverscomplaint 1
ruby-colour'd	~venusandadonis 1
rude	~sonnets 4~rapeoflucrece 1
rudely	~sonnets 1~rapeoflucrece 2
rudeness	~loverscomplaint 1
rudest	~sonnets 1
ruffian	~venusandadonis 1
ruffle	~loverscomplaint 1
ruin	~rapeoflucrece 1
ruin'd	~venusandadonis 1~sonnets 2
ruinate	~sonnets 1~rapeoflucrece 1
ruining	~sonnets 1
ruins	~rapeoflucrece 1
rule	~venusandadonis 1~various 1~loverscomplaint 1
ruled	~venusandadonis 1
ruminate	~sonnets 1
run	~venusandadonis 2~various 1~sonnets 1~rapeoflucrece 1
runn'st	~sonnets 1
running	~loverscomplaint 1
runs	~venusandadonis 4~sonnets 1~rapeoflucrece 1
rushes	~venusandadonis 2~rapeoflucrece 1
rust	~venusandadonis 1
rusty	~various 1
ruth	~various 1~sonnets 1
sable	~various 1~sonnets 1~rapeoflucrece 2
sack'd	~rapeoflucrece 1
sacred	~sonnets 2~rapeoflucrece 1~loverscomplaint 1
sad	~venusandadonis 1~various 1~sonnets 7~rapeoflucrece 17~loverscomplaint 1
sad-beholding	~rapeoflucrece 1
sad-tuned	~loverscomplaint 1
saddle-bow;	~venusandadonis 1
sadly	~venusandadonis 2~sonnets 1~rapeoflucrece 3~loverscomplaint 1
sadness	~venusandadonis 1
safest	~loverscomplaint 1
sage	~rapeoflucrece 1
sage;	~rapeoflucrece 1
said	~venusandadonis 3~various 2~sonnets 4~rapeoflucrece 9~loverscomplaint 2
said;	~venusandadonis 1~loverscomplaint 1
sail	~sonnets 3
saint	~various 2~sonnets 1~rapeoflucrece 1
saint-like	~rapeoflucrece 1
saith	~venusandadonis 4~sonnets 1
sake	~venusandadonis 1~various 1~sonnets 6~rapeoflucrece 5~loverscomplaint 1
sake;	~sonnets 2
salt	~venusandadonis 1~rapeoflucrece 1
salt-waved	~rapeoflucrece 1
salutation	~sonnets 1
salutes	~venusandadonis 1
salve	~venusandadonis 1~sonnets 1~rapeoflucrece 1
salving	~sonnets 1
same	~sonnets 6~rapeoflucrece 4
same;	~various 1
sanctified	~loverscomplaint 1
sands	~venusandadonis 1~rapeoflucrece 1
sang	~sonnets 1
sap	~venusandadonis 1~sonnets 1~rapeoflucrece 2
sapphire	~loverscomplaint 1
sappy	~venusandadonis 1
sat	~venusandadonis 1~loverscomplaint 1
satiety	~venusandadonis 1
satire	~sonnets 1
satisfaction	~loverscomplaint 1
satisfied	~rapeoflucrece 1
satisfy;	~rapeoflucrece 1
sauces	~sonnets 1
saucily	~rapeoflucrece 1
saucy	~sonnets 2
save	~sonnets 1~rapeoflucrece 2
saved	~sonnets 1
savour	~venusandadonis 1~sonnets 1
saw	~venusandadonis 4~various 2~sonnets 5~rapeoflucrece 5~loverscomplaint 2
sawn	~loverscomplaint 1
say	~venusandadonis 9~various 4~sonnets 27~rapeoflucrece 8~loverscomplaint 3
say;	~venusandadonis 1
saying	~sonnets 1
says	~venusandadonis 5~various 1~sonnets 5~rapeoflucrece 3~loverscomplaint 1
scale	~rapeoflucrece 2~loverscomplaint 1
scalps	~rapeoflucrece 1
scandal	~sonnets 1~rapeoflucrece 3
scant	~various 1
scanted	~sonnets 1
scape	~loverscomplaint 1
scapes	~rapeoflucrece 1
scapeth	~loverscomplaint 1
scar	~rapeoflucrece 2
scarce	~various 1~rapeoflucrece 2
scarcely	~sonnets 1
scarcity	~venusandadonis 1
scarlet	~sonnets 1~rapeoflucrece 1
scars	~loverscomplaint 1
scatter	~rapeoflucrece 1
scene	~various 1
scent-snuffing	~venusandadonis 1
sceptre	~rapeoflucrece 1
schedule	~rapeoflucrece 1
schedules	~loverscomplaint 1
school	~rapeoflucrece 3
schools;	~rapeoflucrece 1
scope	~sonnets 5
scoped	~sonnets 1
scorch	~rapeoflucrece 1
score;	~sonnets 1
scorn	~venusandadonis 2~various 3~sonnets 2~rapeoflucrece 3
scorn'd	~sonnets 1
scorn;	~venusandadonis 1
scornful	~venusandadonis 1~rapeoflucrece 1
scornfully	~venusandadonis 1~rapeoflucrece 1
scorning	~venusandadonis 1
scorns	~venusandadonis 1
scowling	~venusandadonis 1
scowls	~rapeoflucrece 1
scraps	~rapeoflucrece 1
scratch	~venusandadonis 1~rapeoflucrece 2
scratch'd	~venusandadonis 1
scroll	~rapeoflucrece 1
scuds	~venusandadonis 1
scythe	~sonnets 4
scythed	~loverscomplaint 1
sea	~venusandadonis 1~sonnets 4~rapeoflucrece 4
sea's	~sonnets 1
seal	~sonnets 1~rapeoflucrece 1
seal'd	~sonnets 1~rapeoflucrece 1~loverscomplaint 1
seal-manual	~venusandadonis 1
sealing	~venusandadonis 1
seals	~venusandadonis 1~sonnets 1
seaman	~venusandadonis 1
sear'd	~loverscomplaint 1
search	~rapeoflucrece 1
season	~venusandadonis 1~rapeoflucrece 1
season'd	~loverscomplaint 1
season;	~rapeoflucrece 1
seasons	~sonnets 3
seat	~sonnets 2~rapeoflucrece 2
seated	~rapeoflucrece 1
second	~venusandadonis 2~sonnets 4
seconds	~sonnets 1
secrecies	~rapeoflucrece 1
secrecy	~rapeoflucrece 1~loverscomplaint 1
secret	~sonnets 1~rapeoflucrece 6
secrets	~venusandadonis 1~various 1
securely	~rapeoflucrece 1
seducing	~rapeoflucrece 1
see	~venusandadonis 9~various 6~sonnets 34~rapeoflucrece 22~loverscomplaint 2
see'st	~sonnets 1~rapeoflucrece 1
see;	~sonnets 1
seeded	~rapeoflucrece 1
seeds	~venusandadonis 1
seeing	~venusandadonis 1~sonnets 6~rapeoflucrece 1
seek	~venusandadonis 1~sonnets 4~rapeoflucrece 6
seeks	~venusandadonis 3~rapeoflucrece 2
seem	~venusandadonis 6~various 1~sonnets 12~rapeoflucrece 2~loverscomplaint 1
seem'd	~venusandadonis 1~sonnets 3~rapeoflucrece 9~loverscomplaint 2
seem'st	~rapeoflucrece 1
seem'st;	~rapeoflucrece 1
seem;	~venusandadonis 1
seemed	~rapeoflucrece 1
seemeth	~venusandadonis 2
seeming	~venusandadonis 2~sonnets 2~rapeoflucrece 1~loverscomplaint 1
seeming;	~sonnets 1
seemly	~sonnets 1
seems	~venusandadonis 4~various 3~sonnets 1~rapeoflucrece 5
seen	~venusandadonis 8~various 1~sonnets 11~rapeoflucrece 3~loverscomplaint 2
sees	~venusandadonis 6~various 1~sonnets 1~rapeoflucrece 4
seest	~venusandadonis 1~sonnets 1
seething	~sonnets 1
seize	~venusandadonis 1~rapeoflucrece 1
seized	~various 1~rapeoflucrece 1
seizeth	~venusandadonis 1
seizure	~various 1
seld	~various 1
seldom	~sonnets 2~rapeoflucrece 3
self	~various 1~sonnets 9~rapeoflucrece 2~loverscomplaint 1
self-applied	~loverscomplaint 1
self-doing	~sonnets 1
self-example	~sonnets 1
self-kill'd	~sonnets 1
self-love	~sonnets 3
self-loving	~venusandadonis 1~sonnets 1
self-same	~sonnets 1~rapeoflucrece 2
self-slaughter'd	~rapeoflucrece 1
self-substantial	~sonnets 1
self-trust	~rapeoflucrece 1
self-will'd	~sonnets 1
sell	~venusandadonis 1~various 1~sonnets 1~rapeoflucrece 1
selling	~sonnets 1
sells	~rapeoflucrece 1
semblance	~venusandadonis 1~sonnets 1~rapeoflucrece 4
send	~venusandadonis 1~sonnets 2
send'st	~sonnets 1
sense	~venusandadonis 1~various 1~sonnets 4~rapeoflucrece 3~loverscomplaint 1
sense;	~various 1
senseless	~venusandadonis 1~rapeoflucrece 2
senses	~venusandadonis 2~sonnets 1
sensible	~venusandadonis 1~rapeoflucrece 1
sensual	~sonnets 2
sent	~rapeoflucrece 1~loverscomplaint 2
sentence	~rapeoflucrece 2
sentinel	~rapeoflucrece 1
sentinel;	~venusandadonis 1
separable	~sonnets 1
separation	~sonnets 1
sepulchred	~rapeoflucrece 1
sepulchres	~venusandadonis 1~sonnets 1~loverscomplaint 1
sequent	~sonnets 1
serpent	~venusandadonis 1~rapeoflucrece 1
servant	~sonnets 1~rapeoflucrece 1
servant's	~sonnets 1
servants	~rapeoflucrece 1
serve	~various 1~rapeoflucrece 1~loverscomplaint 1
served	~rapeoflucrece 1
serves	~rapeoflucrece 2
service	~sonnets 1
services	~sonnets 1
servile	~venusandadonis 2~rapeoflucrece 1
serving	~sonnets 1
servitors	~rapeoflucrece 1
session	~various 1
sessions	~sonnets 1
set	~venusandadonis 5~various 1~sonnets 6~rapeoflucrece 9~loverscomplaint 1
set'st	~rapeoflucrece 1
set;	~sonnets 1~loverscomplaint 1
sets	~rapeoflucrece 4
settled	~venusandadonis 1~sonnets 1
several	~venusandadonis 1~sonnets 1~rapeoflucrece 2~loverscomplaint 2
severe	~venusandadonis 1
severe;	~venusandadonis 1
sex	~rapeoflucrece 1
sexes	~loverscomplaint 1
shade	~venusandadonis 1~various 3~sonnets 4~rapeoflucrece 2
shaded	~various 1
shadow	~venusandadonis 7~sonnets 7~rapeoflucrece 2
shadow'd	~rapeoflucrece 1
shadow's	~sonnets 1
shadow,--truth	~venusandadonis 1
shadows	~various 1~sonnets 3~rapeoflucrece 3
shady	~sonnets 1~rapeoflucrece 1
shag	~venusandadonis 1
shake	~venusandadonis 1~sonnets 3~rapeoflucrece 1
shaken	~sonnets 1
shaken;	~sonnets 1
shakes	~venusandadonis 3~rapeoflucrece 2
shall	~venusandadonis 35~various 5~sonnets 49~rapeoflucrece 26~loverscomplaint 1
shallow	~various 1~rapeoflucrece 4
shallowest	~sonnets 1
shalt	~venusandadonis 6~various 1~sonnets 11~rapeoflucrece 7
shame	~venusandadonis 8~sonnets 10~rapeoflucrece 28~loverscomplaint 4
shame's	~venusandadonis 1~rapeoflucrece 1
shame;	~rapeoflucrece 2
shamed	~sonnets 1~rapeoflucrece 2
shameful	~rapeoflucrece 3
shamefully	~sonnets 1
shames	~sonnets 2~rapeoflucrece 1
shaming	~rapeoflucrece 1
shape	~venusandadonis 1~sonnets 5~rapeoflucrece 3
shapeless	~venusandadonis 1~rapeoflucrece 1
shapes	~sonnets 1~rapeoflucrece 1
share	~various 1~sonnets 1
sharing	~rapeoflucrece 1
sharp	~venusandadonis 4~various 1~sonnets 1~rapeoflucrece 4
sharp'st	~sonnets 1
sharpen'd	~sonnets 1
sharply	~venusandadonis 1
she	~venusandadonis 135~various 35~sonnets 31~rapeoflucrece 94~loverscomplaint 14
she,'that	~rapeoflucrece 1
she,'without	~rapeoflucrece 1
she;	~venusandadonis 1~various 1
sheathed	~venusandadonis 1~rapeoflucrece 2
sheaved	~loverscomplaint 1
sheaves	~sonnets 1
shed	~venusandadonis 1~rapeoflucrece 1
sheds	~sonnets 1~rapeoflucrece 1
sheep	~venusandadonis 2
sheet	~rapeoflucrece 1
sheets	~venusandadonis 1
shelly	~venusandadonis 1
shelter	~venusandadonis 1
shelves	~rapeoflucrece 1
shepherd	~various 1
shepherd's	~various 2
shepherds	~venusandadonis 1~various 1~rapeoflucrece 1
shield	~venusandadonis 1
shield;	~rapeoflucrece 1
shielded	~loverscomplaint 1
shift	~rapeoflucrece 1
shifting	~sonnets 1~rapeoflucrece 1
shifts	~rapeoflucrece 1
shifts;	~venusandadonis 1
shine	~venusandadonis 3~various 3~sonnets 4
shines	~venusandadonis 2~sonnets 2
shining	~venusandadonis 1~various 1~rapeoflucrece 3
shivered	~rapeoflucrece 1
shocks	~loverscomplaint 1
shook	~sonnets 1
shoot	~sonnets 1~rapeoflucrece 2
shooteth	~venusandadonis 1
shop	~sonnets 1
shore	~venusandadonis 1~sonnets 3~rapeoflucrece 1
shore;	~rapeoflucrece 1
shorn	~sonnets 1
short	~venusandadonis 5~sonnets 4~rapeoflucrece 4
short-jointed	~venusandadonis 1
short-number'd	~sonnets 1
short;	~various 1
shortly	~rapeoflucrece 1
shot	~rapeoflucrece 1
should	~venusandadonis 19~various 3~sonnets 44~rapeoflucrece 31~loverscomplaint 1
shoulder	~venusandadonis 1
shouldst	~venusandadonis 4~various 1~sonnets 6
show	~various 1~sonnets 21~rapeoflucrece 11~loverscomplaint 1
show'd	~rapeoflucrece 1~loverscomplaint 1
show'st	~sonnets 1
show;	~sonnets 1~rapeoflucrece 1
showed	~various 2
showers	~venusandadonis 1~sonnets 2~rapeoflucrece 1
shown	~various 1~sonnets 1
shown;	~sonnets 1
shows	~venusandadonis 1~sonnets 6~rapeoflucrece 2~loverscomplaint 1
shows;	~rapeoflucrece 1
shrewd	~venusandadonis 1
shriek	~rapeoflucrece 1
shrieking	~various 1~loverscomplaint 1
shrieks	~venusandadonis 1
shrill-tongued	~venusandadonis 1
shrine	~rapeoflucrece 1
shrub's	~rapeoflucrece 1
shrubs	~rapeoflucrece 1
shrunk	~rapeoflucrece 1
shudder;	~venusandadonis 1
shun	~sonnets 2~rapeoflucrece 2~loverscomplaint 1
shunn'd	~loverscomplaint 1
shuts	~rapeoflucrece 1
sick	~venusandadonis 2~various 1~sonnets 6~rapeoflucrece 3
sicken	~sonnets 1
sickle	~sonnets 1
sickle's	~sonnets 1
sickly	~sonnets 1~loverscomplaint 1
sickness	~venusandadonis 1~sonnets 1
side	~venusandadonis 2~various 1~sonnets 4~rapeoflucrece 5~loverscomplaint 1
side;	~sonnets 1~loverscomplaint 1
sides	~venusandadonis 1~sonnets 1
siege	~venusandadonis 1~sonnets 1~rapeoflucrece 2
sigh	~venusandadonis 1~various 1~sonnets 1~rapeoflucrece 2
sigh'd	~various 1~loverscomplaint 1
sighing	~venusandadonis 1
sighs	~venusandadonis 4~various 2~sonnets 1~rapeoflucrece 7~loverscomplaint 2
sight	~venusandadonis 9~sonnets 15~rapeoflucrece 4~loverscomplaint 1
sight;	~various 2~sonnets 2~rapeoflucrece 1
sightless	~sonnets 2~rapeoflucrece 1
sights	~rapeoflucrece 2~loverscomplaint 2
signs	~venusandadonis 3~various 1~sonnets 1~rapeoflucrece 2
silence	~sonnets 3
silent	~sonnets 2~rapeoflucrece 2
silk	~loverscomplaint 1
silken	~loverscomplaint 2
silly	~venusandadonis 3~various 3~rapeoflucrece 2
silly-jeering	~rapeoflucrece 1
silly-mild	~venusandadonis 1
silver	~venusandadonis 5~sonnets 1~rapeoflucrece 6
silver'd	~sonnets 1
silver-melting	~rapeoflucrece 1
silver-shining	~rapeoflucrece 1
similes	~loverscomplaint 1
simple	~venusandadonis 1~sonnets 3~rapeoflucrece 1~loverscomplaint 1
simple;	~venusandadonis 1
simplicity	~various 1~sonnets 1
sin	~various 1~sonnets 7~rapeoflucrece 14
sin's	~rapeoflucrece 1
sin-concealing	~rapeoflucrece 1
since	~venusandadonis 4~sonnets 9~rapeoflucrece 2
sinews	~venusandadonis 1
sinewy	~venusandadonis 1
sinful	~sonnets 3
sing	~venusandadonis 1~various 5~sonnets 6~rapeoflucrece 1
sing'st	~rapeoflucrece 2
sing;	~rapeoflucrece 1
singing	~various 1
single	~sonnets 4
singled	~venusandadonis 1
singleness	~sonnets 1
sings	~venusandadonis 2~various 1~sonnets 1
singular	~rapeoflucrece 1
sink	~venusandadonis 1
sinketh	~venusandadonis 1
sinking	~rapeoflucrece 1
sins	~sonnets 3~rapeoflucrece 1
sire	~venusandadonis 1~sonnets 1~rapeoflucrece 2
sire;	~venusandadonis 1
sister	~various 1~loverscomplaint 1
sistering	~loverscomplaint 1
sit	~venusandadonis 3~various 2~sonnets 2~rapeoflucrece 1
sits	~venusandadonis 1~various 1~sonnets 1~rapeoflucrece 4~loverscomplaint 1
sitting	~various 2
situation	~sonnets 1
size	~loverscomplaint 1
skies	~venusandadonis 2~rapeoflucrece 3
skilful	~rapeoflucrece 1
skill	~sonnets 8~rapeoflucrece 6~loverscomplaint 1
skill-contending	~rapeoflucrece 1
skin	~rapeoflucrece 1~loverscomplaint 1
skips	~various 1
sky	~venusandadonis 5~sonnets 1~rapeoflucrece 4
slack	~various 1
slackly	~loverscomplaint 1
slain	~venusandadonis 5~various 1~sonnets 1~rapeoflucrece 3
slain;	~sonnets 1
slaketh	~rapeoflucrece 1
slander	~venusandadonis 1~sonnets 2~rapeoflucrece 1
slander'd	~sonnets 1
slander's	~sonnets 1~rapeoflucrece 1
slanderers	~sonnets 1
slanderous	~rapeoflucrece 2
slaughter	~rapeoflucrece 2
slaughter'd	~rapeoflucrece 1
slaughterhouse	~rapeoflucrece 1
slave	~venusandadonis 1~sonnets 7~rapeoflucrece 5
slave;	~rapeoflucrece 1
slavery	~sonnets 1
slaves	~rapeoflucrece 2
slavish	~rapeoflucrece 2
slay	~venusandadonis 2~sonnets 1~rapeoflucrece 5
sleep	~sonnets 4~rapeoflucrece 5~loverscomplaint 1
sleep;	~various 1
sleeping	~venusandadonis 1~various 1~sonnets 1~rapeoflucrece 3
sleeps	~venusandadonis 2~rapeoflucrece 2
sleeps;	~rapeoflucrece 1
sleided	~loverscomplaint 1
slept	~sonnets 1
slew	~rapeoflucrece 1
slew;	~rapeoflucrece 1
slide	~sonnets 1
slides	~loverscomplaint 1
slight	~sonnets 2
slip;	~venusandadonis 1
slips	~venusandadonis 1
slow	~sonnets 4~rapeoflucrece 6
sluggard	~rapeoflucrece 1
sluices	~venusandadonis 1~rapeoflucrece 1
slumber	~rapeoflucrece 1
slumbers	~sonnets 1
sluttish	~venusandadonis 1~sonnets 1
sly	~rapeoflucrece 1
small	~venusandadonis 1~sonnets 2~rapeoflucrece 1~loverscomplaint 1
smallest	~loverscomplaint 1
smarts	~rapeoflucrece 1
smear	~rapeoflucrece 1
smeared	~rapeoflucrece 1
smell	~venusandadonis 6~various 1~sonnets 4~rapeoflucrece 1
smelling	~venusandadonis 1
smells	~sonnets 1
smile	~venusandadonis 2~various 2~rapeoflucrece 2
smiled	~various 1~rapeoflucrece 1~loverscomplaint 1
smiles	~venusandadonis 2
smiling	~various 1~sonnets 1~rapeoflucrece 1
smiling;	~loverscomplaint 1
smilingly	~rapeoflucrece 1
smiteth	~rapeoflucrece 1
smoke	~venusandadonis 1~sonnets 1~rapeoflucrece 4
smoky	~rapeoflucrece 1
smooth	~venusandadonis 2
smoothing	~rapeoflucrece 1
smoothness	~rapeoflucrece 1
smother	~venusandadonis 1~sonnets 1~rapeoflucrece 1
smother'd	~venusandadonis 1~various 1~rapeoflucrece 2
smother'st	~rapeoflucrece 1
smothering	~rapeoflucrece 1
snail	~venusandadonis 1
snare;	~rapeoflucrece 1
sneaking	~rapeoflucrece 1
sneaped	~rapeoflucrece 1
snorts	~venusandadonis 1
snout	~venusandadonis 1
snow	~venusandadonis 2~sonnets 1~rapeoflucrece 1
snow-white	~rapeoflucrece 3
so	~venusandadonis 55~various 18~sonnets 91~rapeoflucrece 78~loverscomplaint 12
so;	~venusandadonis 2~sonnets 7~rapeoflucrece 1
sobbing	~rapeoflucrece 1
sober	~sonnets 1~rapeoflucrece 1~loverscomplaint 1
sober-sad	~rapeoflucrece 1
sobs	~venusandadonis 1
society	~sonnets 1~rapeoflucrece 1
sod	~rapeoflucrece 1
soft	~venusandadonis 8~various 2~sonnets 1~rapeoflucrece 1~loverscomplaint 1
soft-slow	~rapeoflucrece 1
soften	~rapeoflucrece 1
softly	~rapeoflucrece 2
soil	~sonnets 1
solace	~various 2
sold	~sonnets 1
soldiers	~venusandadonis 1
sole	~various 1~sonnets 1
solemn	~venusandadonis 1~sonnets 1~rapeoflucrece 1
solicited	~rapeoflucrece 1
solve	~sonnets 1
some	~venusandadonis 10~various 4~sonnets 24~rapeoflucrece 23~loverscomplaint 5
something	~sonnets 2~rapeoflucrece 2
sometime	~venusandadonis 4~sonnets 4~rapeoflucrece 2~loverscomplaint 1
sometimes	~venusandadonis 1~sonnets 1~rapeoflucrece 1~loverscomplaint 1
son	~venusandadonis 4~sonnets 3~rapeoflucrece 4
son's	~rapeoflucrece 1
song	~venusandadonis 2~various 2~sonnets 4
songs	~venusandadonis 1~sonnets 1
sonnets	~loverscomplaint 1
sons	~venusandadonis 1~rapeoflucrece 2
soon	~venusandadonis 3~various 5~sonnets 3~rapeoflucrece 4
soon;	~various 1
sooner	~sonnets 2
soothing	~various 1
sore	~venusandadonis 1~various 1~rapeoflucrece 2
sores	~venusandadonis 1
sorrow	~venusandadonis 6~various 3~sonnets 5~rapeoflucrece 21~loverscomplaint 1
sorrow's	~rapeoflucrece 4~loverscomplaint 1
sorrow;	~various 1~rapeoflucrece 1
sorrowing	~various 1
sorrows	~sonnets 2~rapeoflucrece 2
sorry	~venusandadonis 1~sonnets 1~rapeoflucrece 1
sort	~sonnets 2~rapeoflucrece 1
sorteth	~venusandadonis 1
sorts	~rapeoflucrece 1
sought	~venusandadonis 1~sonnets 1~rapeoflucrece 4~loverscomplaint 3
soul	~various 1~sonnets 10~rapeoflucrece 10~loverscomplaint 1
soul's	~sonnets 2~rapeoflucrece 2
souls	~sonnets 2~rapeoflucrece 4
sound	~venusandadonis 2~various 3~sonnets 1~rapeoflucrece 4
sound;	~sonnets 1
soundless	~sonnets 1
soundly	~venusandadonis 1
sounds	~venusandadonis 1~sonnets 2~rapeoflucrece 3
sour	~venusandadonis 3~sonnets 2
sour-faced	~rapeoflucrece 1
sourest	~sonnets 1
souring	~rapeoflucrece 1
sourly	~sonnets 2
sours	~rapeoflucrece 1
sovereign	~venusandadonis 2~sonnets 4~rapeoflucrece 2
sovereignty	~rapeoflucrece 2
space	~various 1~sonnets 1~loverscomplaint 1
space;	~rapeoflucrece 1
spacious	~sonnets 1
spare	~rapeoflucrece 1
sparing	~venusandadonis 1~rapeoflucrece 1
sparkling	~sonnets 1
sparks	~rapeoflucrece 1
sparrows	~rapeoflucrece 1
speak	~venusandadonis 3~sonnets 6~rapeoflucrece 3
speak;	~rapeoflucrece 2
speaking	~sonnets 4
speaks	~venusandadonis 2~rapeoflucrece 3
spear	~venusandadonis 1~rapeoflucrece 1
spear's	~venusandadonis 1
special	~sonnets 2
spectacle	~various 1~rapeoflucrece 1
speech	~venusandadonis 1~rapeoflucrece 1
speeches	~loverscomplaint 1
speechless	~sonnets 2~rapeoflucrece 1
speed	~various 1~sonnets 3~rapeoflucrece 7
speedeth	~rapeoflucrece 1
speeding	~various 1
speedy	~rapeoflucrece 2
spend	~venusandadonis 2~various 1~sonnets 5~rapeoflucrece 2~loverscomplaint 1
spend;	~various 1
spends	~sonnets 1~rapeoflucrece 1
spent	~venusandadonis 2~sonnets 5~rapeoflucrece 3~loverscomplaint 1
spent;	~sonnets 1~rapeoflucrece 1
spheres	~sonnets 1~loverscomplaint 1
spied	~venusandadonis 1~rapeoflucrece 2
spies	~venusandadonis 2~sonnets 1~rapeoflucrece 2
spill	~rapeoflucrece 1
spill'd	~venusandadonis 1
spill;	~rapeoflucrece 1
spilling	~rapeoflucrece 1
spinning	~rapeoflucrece 1
spirit	~venusandadonis 2~various 1~sonnets 10~rapeoflucrece 1
spirits	~various 1~sonnets 2~loverscomplaint 2
spite	~venusandadonis 2~various 3~sonnets 5~rapeoflucrece 2~loverscomplaint 1
spites;	~sonnets 1
spleen	~various 1
spleens	~venusandadonis 1
splendor	~sonnets 1~rapeoflucrece 1
spoil	~venusandadonis 1~sonnets 1~rapeoflucrece 2~loverscomplaint 1
spoil'd	~rapeoflucrece 1
spoils	~sonnets 1
spoke	~venusandadonis 2
spongy	~loverscomplaint 1
sport	~venusandadonis 5~various 2~sonnets 1
sport;	~sonnets 1~rapeoflucrece 1
sporting	~rapeoflucrece 1
sportive	~sonnets 1~rapeoflucrece 1
sports	~loverscomplaint 1
spot	~sonnets 1~rapeoflucrece 1
spotless	~rapeoflucrece 1
spots	~rapeoflucrece 2
spotted	~rapeoflucrece 2
spread	~venusandadonis 3~sonnets 1
spread;	~rapeoflucrece 1
spreading	~loverscomplaint 1
spright	~venusandadonis 1
spright;	~rapeoflucrece 1
spring	~venusandadonis 5~various 2~sonnets 4~rapeoflucrece 4
spring;	~various 1~sonnets 1~rapeoflucrece 1
springing	~venusandadonis 1
springs	~venusandadonis 1~sonnets 1~rapeoflucrece 1
sprite	~rapeoflucrece 2
sprung	~venusandadonis 1
spur	~venusandadonis 1~sonnets 2
spurn	~rapeoflucrece 1
spurn'st	~rapeoflucrece 1
spurring	~sonnets 1
spy	~venusandadonis 1~rapeoflucrece 1
spying	~various 1
